"Qizhan, Zhu","16' H X 6' 2"" W Framed","-122.4163842,37.7802635",Museum : Asian Art Museum,Ink and watercolor on paper on silk mounting,San Francisco Arts Commission,Grapevine
"Labaudt, Lucien",,"-122.510284,37.767879","Public Display : District 1 : GGP, Beach Chalet",Fresco,San Francisco Arts Commission,People and Places of San Francisco
"VonMeyer, Michael","5'6"" tall","-122.4571623,37.7683778","Public Display : District 1 : GGP, Children's Playground",Indiana limestone,San Francisco Arts Commission,The Child
"Cummings, M. Earl",Two 4' L sculptures on 9' H granite boulder,"-122.4658805,37.7734009","Public Display : District 1 : GGP, Fulton at 8th Ave.",Bronze,San Francisco Arts Commission,Bear and Lion
"VanDenberge, Peter",,"-122.4194155,37.7749295","Public Display : District 1 : GGP, Hall of Flowers",Glazed ceramic tile,San Francisco Arts Commission,Garden of Alice
Anonymous,,"-122.4701557,37.7701722","Public Display : District 1 : GGP, Japanese Tea Garden",Stone,San Francisco Arts Commission,Untitled (Stone Lantern)
"Asawa, Ruth","15"" H X 28"" W","-122.4701557,37.7701722","Public Display : District 1 : GGP, Japanese Tea Garden",Bronze,San Francisco Arts Commission,Hagiwara Family Plaque
Anonymous,10 1/2' H,"-122.4701557,37.7701722","Public Display : District 1 : GGP, Japanese Tea Graden",Bronze,San Francisco Arts Commission,Amazarasti-no Hotoke (the Buddha that sits throughout the sunny and rainy weathe
"Jauchen, Hans","SC: 32 X 27 X 6 "" Granite pedestal: 134 X 40 X 42 ""","-122.5108707,37.7704354","Public Display : District 1 : GGP, JFK at Great Highway",Bronze and red Norwegian Granite,San Francisco Arts Commission,Roald Amundsen (1872-1928)
"Kricken, John and Rolph",,"-122.5108707,37.7704354","Public Display : District 1 : GGP, JFK at Great Highway",bronze,San Francisco Arts Commission,Amundsen Historical Plaque
"Cummings, M. Earl",8' H atop an 8' granite base,"-122.4835193,37.76904","Public Display : District 1 : GGP, JFK near 7th Ave.",Bronze,San Francisco Arts Commission,Robert Burns (1759-1796)
"Brown, Arthur Page",,"-122.4818391,37.7705254","Public Display : District 1 : GGP, Lloyd Lake",Marble and cast concrete,San Francisco Arts Commission,Portals of the Past
Anonymous,,"-122.4666711,37.7703537","Public Display : District 1 : GGP, Music Concourse",Bronze,San Francisco Arts Commission,Ludwig Van Beethoven (1770-1827)
"Connor, Gerome",7' H,"-122.4666711,37.7703537","Public Display : District 1 : GGP, Music Concourse",Bronze,San Francisco Arts Commission,Robert Emmet (1778-1803)
"Cummings, M. Earl",5' H,"-122.4666711,37.7703537","Public Display : District 1 : GGP, Music Concourse",Granite,San Francisco Arts Commission,Rideout Fountain
"French, Daniel Chester",8' H,"-122.4666711,37.7703537","Public Display : District 1 : GGP, Music Concourse",Bronze,San Francisco Arts Commission,Thomas Starr King (1824-1864)
"Geefs, Guillaume",,"-122.4666711,37.7703537","Public Display : District 1 : GGP, Music Concourse",Bronze,San Francisco Arts Commission,Leonitus (Roman Gladiator)
"Mora, Joseph Jacinto",,"-122.4666711,37.7703537","Public Display : District 1 : GGP, Music Concourse",Bronze,San Francisco Arts Commission,Miguel Cervantes (1547-1616)
"Putnam, Arthur",5'H X 10' L,"-122.4666711,37.7703537","Public Display : District 1 : GGP, Music Concourse",Cast concrete,San Francisco Arts Commission,Sphinx
"Reitschel, Ernst",8' H,"-122.4666711,37.7703537","Public Display : District 1 : GGP, Music Concourse",Bronze on pedestal of red Missouri granite,San Francisco Arts Commission,Goethe and Schiller
"Shields-Clarke, Thomas",,"-122.4666711,37.7703537","Public Display : District 1 : GGP, Music Concourse",Bronze,San Francisco Arts Commission,The Cider Press
"Story, William Wetmore",,"-122.4666711,37.7703537","Public Display : District 1 : GGP, Music Concourse","Bronze, travertine and marble",San Francisco Arts Commission,Francis Scott Key (1780-1843)
"Cummings, M. Earl","30"" sculpture atop a 4' H shaft","-122.4666711,37.7703537","Public Display : District 1 : GGP, Music Concourse, deYoung entrance",Bronze,San Francisco Arts Commission,Sun Dial
"Cummings, M. Earl",3' H,"-122.4666711,37.7703537","Public Display : District 1 : GGP, Music Concourse, east of deYoung","Bronze, stone and landscaping",San Francisco Arts Commission,Pool of Enchantment
"Grossoni, Orazio",,"-122.4194155,37.7749295","Public Display : District 1 : GGP, Music Concourse, South of Bandshell",Bronze,San Francisco Arts Commission,Giuseppe Verdi
"Cummings, M. Earl",,"-122.473305,37.7715966","Public Display : District 1 : GGP, Redwood Memorial Grove",Bronze,San Francisco Arts Commission,Doughboy
"Bullock, George","32"" H","-122.4671799,37.76887809999999","Public Display : District 1 : GGP, Shakespeare Garden",Bronze,San Francisco Arts Commission,William Shakespeare
"Conrads, Carl H.",8' H,"-122.4835193,37.76904","Public Display : District 1 : GGP, south side of JFK",Granite,San Francisco Arts Commission,General Henry W. Halleck (1815-1872)
"McQuarrie, J.",8' H,"-122.4835193,37.76904","Public Display : District 1 : GGP, south side of JFK",Bronze,San Francisco Arts Commission,Father William D. McKinnon ( -1902)
"Cummings, M. Earl","5'6"" H","-122.4835193,37.76904","Public Display : District 1 : GGP, south side of JFK at Rhod. Dell",Bronze,San Francisco Arts Commission,John McLaren (1846-1943)
"Huntington, Clara","78"" H X 35"" W","-122.4194155,37.7749295","Public Display : District 1 : GGP: Arboretum, Fragrance Garden",Bronze,San Francisco Arts Commission,St. Francis of Assisi (Feeding the Birds)
"Aitken, Robert Ingersoll",20' H,"-122.4666711,37.7703537",Public Display : District 1 : GGP: Music Concourse,Cast Concrete,San Francisco Arts Commission,Spandrels on Spreckles Temple of Music
"Saulls, Vicky",,"-122.4571623,37.7683778",Public Display : District 1 : Golden Gate Park : Koret Children's Quarters,Cast concrete aggregate,San Francisco Arts Commission,Untitled [group of animals]
"Fleming, Alan","Main Gate: 9' H X 17'6"" W","-122.4194155,37.7749295","Public Display : District 1 : Kezar Stadium, N, S and West gates",Galvanized metal,San Francisco Arts Commission,Kezar Stadium Gates
"Shunkai, Bundo",,"-122.5056701,37.78773899999999",Public Display : District 1 : Land's End,Black granite,San Francisco Arts Commission,Peace Monument
"Rodin, Auguste",,"-122.4194155,37.7749295",Public Display : District 1 : Legion of Honor Courtyard,Bronze,San Francisco Arts Commission,The Thinker
"Rodin, Auguste","7 1/2"" H X 6' W; Base 8' H","-122.4194155,37.7749295","Public Display : District 1 : Legion of Honor, north lawn",Bronze statue with granite base,San Francisco Arts Commission,The Three Shades
"Patigian, Haig","22"" in diameter","-122.5019123,37.7836073",Public Display : District 1 : Lincoln Park,Bronze,San Francisco Arts Commission,Raphael Weill (1837-1920) Plaque
"Segal, George",66 in. x 144 in. x 144 in.,"-122.5056701,37.78773899999999",Public Display : District 1 : Lincoln Park : Land's End,Cast and painted bronze and wire,San Francisco Arts Commission,The Holocaust
Anonymous,"88 X 60 X 34 ""","-122.4525624,37.7069424","Public Display : District 1 : Lincoln Park, NW side",granite with bronze plaque,San Francisco Arts Commission,Kanrin Maru Monument
"Beldner, Ray","16 'H (max.) X 8 ' W (max.) X 4 1/2 "" D","-122.510037,37.7732589",Public Display : District 1 : MUNI Turnaround : La Playa and Cabrillo,Stainless steel mesh over steel armature with photo-etched plaques.,San Francisco Arts Commission,Playland Revisited
"Fuller (Mcchesney), Mary",,"-122.4048688,37.7947175",Public Display : District 1 : Portsmouth Square,Cast concrete,San Francisco Arts Commission,Serpent
"Lands, Christine Marie",,"-122.4194155,37.7749295","Public Display : District 1 : Presidio Library, reading room",Acrylic,San Francisco Arts Commission,Before the Revolution
"Donahue, Scott",,"-122.467743,37.78187",Public Display : District 1 : Richmond Branch Library : 351 9th Ave.,,San Francisco Arts Commission,Untitled [Richmond Library]
"Alavi, Seyed",,"-122.477977,37.78327",Public Display : District 1 : Richmond Rec Center,,San Francisco Arts Commission,Speaking Stones
"Halprin, Lawrence",,"-122.4136322,37.779985",Public Display : District 1 : UN Plaza,Granite,San Francisco Arts Commission,United Nations Plaza Fountain
"Arnautoff, Victor Mikhail",4' X 6',"-122.491083,37.7774299",Public Display : District 1 : Washington High School,cast concrete,San Francisco Arts Commission,Edison (1847-1931) Washington (1732-1799) and Shakespeare (1564-1616)
"Houdon, Jean Antoine","78"" H X 42"" W X 33"" D","-122.491083,37.7774299",Public Display : District 1 : Washington High School,Bronze,San Francisco Arts Commission,George Washington
"Stackpole, Ralph",66 in. x 324 in.,"-122.4194155,37.7749295",Public Display : District 1 : Washington High School : Librar y,Fresco panel,San Francisco Arts Commission,Contemporary Education
"Labaudt, Lucien",66 in. x 324 in.,"-122.4194155,37.7749295","Public Display : District 1 : Washington High School, Library",Fresco panel,San Francisco Arts Commission,Advancement of Learning through the Printing Press
"Arnautoff, Victor",1600 square feet,"-122.491083,37.7774299","Public Display : District 1 : Washington High School, main entrance",Fresco,San Francisco Arts Commission,The Life of George Washington
"Selinger, Paul",,"-122.4425216,37.7856501",Public Display : District 2 : Broderick and Bush Mini Park,,San Francisco Arts Commission,Untitled
"Schweigardt, Frederick W.",,"-122.4194155,37.7749295",Public Display : District 2 : Golden Gate Bridge : Toll Crossing,Bronze,San Francisco Arts Commission,Joseph B. Strauss (1870-1938) Memorial
"Patigian, Haig",10' H X 7' W X 5' D,"-122.4391137,37.8066235",Public Display : District 2 : Marina Green,Marble and bronze,San Francisco Arts Commission,William C. Ralston (1826-1875) Monument
"Beery, Jonathan",,"-122.433025,37.80136",Public Display : District 2 : Moscone Park and Rec Center,Bronze,San Francisco Arts Commission,Leatherback Sea Turtle
"Beery, Jonathan",,"-122.433025,37.80136",Public Display : District 2 : Moscone Park and Rec Center,bronze,San Francisco Arts Commission,The Pink Short-spined Starfish
"Roberts, Kent",,"-122.433021,37.801262",Public Display : District 2 : Moscone Recreation Center,stainless steel and concrete,San Francisco Arts Commission,Passage
"Reid, Robert",,"-122.4483876,37.8028347",Public Display : District 2 : Palace fo Fine Arts,Oil,San Francisco Arts Commission,Oriental Art
"Reid, Robert",27 X 23',"-122.4483876,37.8028347",Public Display : District 2 : Palace of Fine Arts,Oil ,San Francisco Arts Commission,The Golden Fruit
"Reid, Robert",,"-122.4483876,37.8028347",Public Display : District 2 : Palace of Fine Arts,Oil,San Francisco Arts Commission,Ideals in Art
"Reid, Robert",,"-122.4483876,37.8028347",Public Display : District 2 : Palace of Fine Arts,Oil,San Francisco Arts Commission,The Birth of European Art
"Reid, Robert",,"-122.4483876,37.8028347",Public Display : District 2 : Palace of Fine Arts,Oil,San Francisco Arts Commission,The Golden Metal
"Reid, Robert",27 X 23',"-122.4483876,37.8028347",Public Display : District 2 : Palace of Fine Arts,Oil ,San Francisco Arts Commission,The Golden Poppy
"Dixon, Maynard",,"-122.4194155,37.7749295","Public Display : District 3 : 425 Mason St., Lobby",oil,San Francisco Arts Commission,Landscape
"Schnier, Jacques","30"" X 41"" L","-122.4048711,37.7906482",Public Display : District 3 : 444 Bush St.,Bronze,San Francisco Arts Commission,California Theater Plaque
"Cummings, M. Earl",6' H X 3',"-122.4116033,37.7898163",Public Display : District 3 : 870 Bush St.,Bronze,San Francisco Arts Commission,Dennis T. Sullivan (1852-1906) Plaque
"Goggin, Brian and Keehn, Dorka",,"-122.4067221,37.7978885",Public Display : District 3 : Broadway and Columbus,,San Francisco Arts Commission,Language of the Birds
"Leong, James",,"-122.4194155,37.7749295","Public Display : District 3 : Chinese Cultrural Center, 750 Kearney",egg tempera,San Francisco Arts Commission,100 Years of Progress of Chinese in America
"Albro, Maxine",10' X 42',"-122.4058194,37.8023686",Public Display : District 3 : Coit Tower,Fresco,San Francisco Arts Commission,California
"Arnautoff, Victor Mikhail",10' X 36',"-122.4058194,37.8023686",Public Display : District 3 : Coit Tower,Fresco,San Francisco Arts Commission,City Life
"Berlandina, Jane",9' X 34',"-122.4058194,37.8023686",Public Display : District 3 : Coit Tower,Egg tempura,San Francisco Arts Commission,Home Life
"Bertrand, Raymond",,"-122.4058194,37.8023686",Public Display : District 3 : Coit Tower,Fresco,San Francisco Arts Commission,Meat Industry
"Boynton, Raymond",,"-122.4058194,37.8023686",Public Display : District 3 : Coit Tower,Fresco,San Francisco Arts Commission,Animal Force and Machine Force
"Chesse, Ralph A.",,"-122.4058194,37.8023686",Public Display : District 3 : Coit Tower,Fresco,San Francisco Arts Commission,Children at Play
"Cuneo, Rinaldo",,"-122.4058194,37.8023686",Public Display : District 3 : Coit Tower,Oil,San Francisco Arts Commission,Bay Area Hills
"Cunningham, Ben F.",,"-122.4058194,37.8023686",Public Display : District 3 : Coit Tower,Fresco,San Francisco Arts Commission,Outdoor Life
"Dean, Mallette (Harold)",,"-122.4058194,37.8023686",Public Display : District 3 : Coit Tower,Fresco,San Francisco Arts Commission,Stockbroker and Scientist-Inventor
"Hall, Parker",,"-122.4058194,37.8023686",Public Display : District 3 : Coit Tower,Fresco,San Francisco Arts Commission,Collegiate Sports
"Hamlin, Edith",,"-122.4058194,37.8023686",Public Display : District 3 : Coit Tower,Fresco,San Francisco Arts Commission,Hunting in California
"Harris, George",,"-122.4058194,37.8023686",Public Display : District 3 : Coit Tower,Fresco,San Francisco Arts Commission,Banking and the Law
"Hesthal, William",,"-122.4058194,37.8023686",Public Display : District 3 : Coit Tower,Fresco,San Francisco Arts Commission,Railroad and Shipping
"Howard, John Langley",10' X 24',"-122.4058194,37.8023686",Public Display : District 3 : Coit Tower,Fresco,San Francisco Arts Commission,California Industrial Scenes
"Labaudt, Lucien",72 in. x 384 in.,"-122.4058194,37.8023686",Public Display : District 3 : Coit Tower,Fresco,San Francisco Arts Commission,Powell Street
"Langdon, Gordon",,"-122.4058194,37.8023686",Public Display : District 3 : Coit Tower,Fresco,San Francisco Arts Commission,California Agricultural Industry
"Moya Del Pino, Jose",,"-122.4058194,37.8023686",Public Display : District 3 : Coit Tower,Oil,San Francisco Arts Commission,"San Francisco Bay, North"
"Oldfield, Otis",,"-122.4058194,37.8023686",Public Display : District 3 : Coit Tower,Oil,San Francisco Arts Commission,San Francisco Bay
"Oldfield, Otis",,"-122.4058194,37.8023686",Public Display : District 3 : Coit Tower,Oil,San Francisco Arts Commission,Seabirds and Bay Area Map
"Olmsted, Jr., Frederick Law",,"-122.4058194,37.8023686",Public Display : District 3 : Coit Tower,Fresco,San Francisco Arts Commission,Power
"Scheuer, Suzanne",,"-122.4058194,37.8023686",Public Display : District 3 : Coit Tower,Fresco,San Francisco Arts Commission,Newsgathering
"Stackpole, Ralph",10' X 36',"-122.4058194,37.8023686",Public Display : District 3 : Coit Tower,Fresco,San Francisco Arts Commission,Industries of California
"Terada, Edward Takeo",9' X 10',"-122.4058194,37.8023686",Public Display : District 3 : Coit Tower,Fresco,San Francisco Arts Commission,Sports
"Vidar, Frede",,"-122.4058194,37.8023686",Public Display : District 3 : Coit Tower,Fresco,San Francisco Arts Commission,Department Store
"Wight, Clifford",10' X 4',"-122.4058194,37.8023686",Public Display : District 3 : Coit Tower,Fresco,San Francisco Arts Commission,Farmer and Cowboy
"Wight, Clifford",10' X 4',"-122.4058194,37.8023686",Public Display : District 3 : Coit Tower,Fresco,San Francisco Arts Commission,Surveyor and Steelworker
"Zakheim, Bernard Baruch",,"-122.4058194,37.8023686",Public Display : District 3 : Coit Tower,Fresco,San Francisco Arts Commission,Library
"Cummings, M. Earl",,"-122.4109539,37.8008791",Public Display : District 3 : Columbus Avenue at Powell and Union,Bronze,San Francisco Arts Commission,Man Drinking Water
"Quilici, Gladys Nevada","24"" H","-122.4194155,37.7749295",Public Display : District 3 : Columbus Avenue at Union and Powell,Bronze,San Francisco Arts Commission,Frank Marini (1862-1952)
"Bowler, Patti",114 in. x 672 in. x 30 in.,"-122.4154927,37.7967083",Public Display : District 3 : East End of Broadway Tunnel,Sheet bronze and sheet brass,San Francisco Arts Commission,Dragon Relief
"Manwaring, Michael",,"-122.3943387,37.7976769",Public Display : District 3 : Embarcadero,Bronze plaques on sidewalk; concrete pylons with enamel-painted plaques,San Francisco Arts Commission,Historic Signage Project
"Gillman, Steve","17"" H X 102"" W X 102"" D","-122.3880306,37.7869956",Public Display : District 3 : Embarcadero : Entrance to Pier 7,Sunset red granite and bronze,San Francisco Arts Commission,Bay Bench
"Gillman, Steve",,"-122.3880306,37.7869956",Public Display : District 3 : Embarcadero : Entrance to Pier 7,Sunset red granite and bronze,San Francisco Arts Commission,Bay Bench
"Gillman, Steve",,"-122.3880306,37.7869956",Public Display : District 3 : Embarcadero : Entrance to Pier 7,Sunset red granite and bronze,San Francisco Arts Commission,Bay Bench
"Arneson, Robert",,"-122.3945938,37.7948985",Public Display : District 3 : Embarcadero : Justin Herman Plaza,,San Francisco Arts Commission,Yin Yang
"Chamberlain, Ann and Ho0d, Walter",114 in. x 468 in. x 24 in.,"-122.3945938,37.7948985",Public Display : District 3 : Embarcadero : Justin Herman Plaza,,San Francisco Arts Commission,Abraham Lincoln Brigade National Monument
"Vaillancourt, Armand",30' H,"-122.3945938,37.7948985",Public Display : District 3 : Embarcadero : Justin Herman Plaza,pre-cast aggregate concrete hollow-core boxes,San Francisco Arts Commission,The Embarcadero Fountain
"Acconci, Saitowitz and Soloman",2 1/2 miles X 5 feet,"-122.4120591,37.8085303",Public Display : District 3 : Embarcadero/Waterfront,"Black concrete, with a strip of glass blocks, to be illuminated at night",San Francisco Arts Commission,Promenade Ribbon
"Choi, Man Lin","77"" H X 94"" W X 65"" D","-122.3916833,37.795664","Public Display : District 3 : Ferry Park, Embarcadero",Bronze,San Francisco Arts Commission,Movement: The First 100 Years
"Paunov, Zlatko",Sculpture: 8' H X 3 1/2' W X 4' D; Base: 3' H X 4' W X 4' D,"-122.3916833,37.795664",Public Display : District 3 : Ferry Plaza,Bronze,San Francisco Arts Commission,Mohandas K. Gandhi
"Runyon, Hal Bayard","2 1/2' H sculpture on 9 1/2"" H shaft","-122.3943387,37.7976769",Public Display : District 3 : Foot of Market at Embarcadero,Bronze,San Francisco Arts Commission,Andrew Furuseth (1854-1938)
"Marini, Marino",,"-122.4194155,37.7749295",Public Display : District 3 : Golden Gateway Plaza,Bronze,San Francisco Arts Commission,Bronze Horse
"Moore, Henry",,"-122.4194155,37.7749295",Public Display : District 3 : Golden Gateway Plaza,Bronze,San Francisco Arts Commission,Standing Figure Knife Edged- Winged Figure
"Perry, Charles O.",,"-122.4194155,37.7749295",Public Display : District 3 : Golden Gateway Plaza,Bronze,San Francisco Arts Commission,Bronze Icosahedron
"Bufano, Beniamino",180 in.,"-122.398337,37.7970899","Public Display : District 3 : Golden Gateway, Jackson and Davis",Red porphyry and stainless steel,San Francisco Arts Commission,Penguins
"Blackstone, Amy",,"-122.4194155,37.7749295",Public Display : District 3 : Helen Wills Playground,,San Francisco Arts Commission,"Earth, Fire, and Water"
Anonymous,,"-122.4122163,37.792033",Public Display : District 3 : Huntington Park,Marble and bronze,San Francisco Arts Commission,Fountain of the Tortoises
"Greber, Henri Leon","45"" H by 4' diameter","-122.4122163,37.792033",Public Display : District 3 : Huntington Park,Bronze,San Francisco Arts Commission,Dancing Sprites
"Bufano, Beniamino",,"-122.423905,37.80637600000001",Public Display : District 3 : Maritime Museum,Black granite,San Francisco Arts Commission,Frog
"Bufano, Beniamino",72 in. x 36 in.,"-122.423905,37.80637600000001",Public Display : District 3 : Maritime Museum,Brown Granite,San Francisco Arts Commission,Seal
"Stern, Jan Peter",,"-122.3991803,37.7953907",Public Display : District 3 : Maritime Plaza,Aluminum,San Francisco Arts Commission,Limits of Horizon II
"Tilden, Douglas",,"-122.3994649,37.7907874",Public Display : District 3 : Market and Battery,Bronze,San Francisco Arts Commission,Mechanics Monument (Peter Donahue-1829-1885)
"Tilden, Douglas",15' H; granite base is 6 1/2' H,"-122.3994649,37.7907874",Public Display : District 3 : Market and Battery Streets,Bronze,San Francisco Arts Commission,Mechanics Monument (Peter Donahue-1829-1885)
Anonymous,"24' H X 5'4"" W X 5'4"" L","-122.4034248,37.7876664",Public Display : District 3 : Market and Kearny,cast iron,San Francisco Arts Commission,Lotta's Fountain
"Patigian, Haig","18""H X 36""W","-122.4034248,37.7876664",Public Display : District 3 : Market and Kearny,Bronze,San Francisco Arts Commission,Luisa Tetrazzini (1874-1940) Plaque
"Tilden, Douglas",over life size figure atop a 24' granite shaft,"-122.4020066,37.7887757",Public Display : District 3 : Market and Montgomery,Bronze and granite,San Francisco Arts Commission,Native Sons Monument (Admission Day Monument)
"Fletcher, Harrell and Rubin, John",,"-122.4094682,37.7984339","Public Display : District 3 : North Beach Parking Garage, 735 Vallejo",Porcelain enamel,San Francisco Arts Commission,"Photos of People from the Neighborhood Enlarged and Attached to the Building, an"
"Fletcher, Harrell and Rubin, John",,"-122.4094682,37.7984339","Public Display : District 3 : North Beach Parking Garage, 735 Vallejo",Porcelain enamel,San Francisco Arts Commission,"Photos of People from the Neighborhood Enlarged and Attached to the Building, an"
"Fletcher, Harrell and Rubin, John",,"-122.4094682,37.7984339","Public Display : District 3 : North Beach Parking Garage, 735 Vallejo",Porcelain enamel,San Francisco Arts Commission,"Photos of People from the Neighborhood Enlarged and Attached to the Building, an"
"Fletcher, Harrell and Rubin, John",,"-122.4094682,37.7984339","Public Display : District 3 : North Beach Parking Garage, 735 Vallejo",Porcelain enamel,San Francisco Arts Commission,"Photos of People from the Neighborhood Enlarged and Attached to the Building, an"
"Fletcher, Harrell and Rubin, John",,"-122.4094682,37.7984339","Public Display : District 3 : North Beach Parking Garage, 735 Vallejo",paint stencil,San Francisco Arts Commission,"""Stenciled Fortunes"" within ""Photos of People from the Neighborhood enlarged and"
"Fletcher, Harrell and Rubin, John",,"-122.4094682,37.7984339","Public Display : District 3 : North Beach Parking Garage, 735 Vallejo",Porcelain enamel,San Francisco Arts Commission,"Photos of People from the Neighborhood Enlarged and Attached to the Building, an"
"Fletcher, Harrell and Rubin, John",,"-122.4094682,37.7984339","Public Display : District 3 : North Beach Parking Garage, 735 Vallejo",Porcelain enamel,San Francisco Arts Commission,"Photos of People from the Neighborhood Enlarged and Attached to the Building, an"
"Fletcher, Harrell and Rubin, John",,"-122.4094682,37.7984339","Public Display : District 3 : North Beach Parking Garage, 735 Vallejo",Porcelain enamel,San Francisco Arts Commission,"Photos of People from the Neighborhood Enlarged and Attached to the Building, an"
"Fletcher, Harrell and Rubin, John",,"-122.4094682,37.7984339","Public Display : District 3 : North Beach Parking Garage, 735 Vallejo",Porcelain enamel,San Francisco Arts Commission,"Photos of People from the Neighborhood Enlarged and Attached to the Building, an"
"Fletcher, Harrell and Rubin, John",,"-122.4094682,37.7984339","Public Display : District 3 : North Beach Parking Garage, 735 Vallejo",Porcelain enamel,San Francisco Arts Commission,"Photos of People From the Neighborhood Enlarged and Attached to the Building, an"
"Fletcher, Harrell and Rubin, John",,"-122.4094682,37.7984339","Public Display : District 3 : North Beach Parking Garage, 735 Vallejo",Paint,San Francisco Arts Commission,"Photos of People From the Neighborhood Enlarged and Attached to the Building, an"
"Fletcher, Harrell and Rubin, John",,"-122.4094682,37.7984339","Public Display : District 3 : North Beach Parking Garage, 735 Vallejo",Porcelain enamel,San Francisco Arts Commission,"Photos of People from the Neighborhood Enlarged and Attached to the Building, an"
"Fletcher, Harrell and Rubin, John",,"-122.4094682,37.7984339","Public Display : District 3 : North Beach Parking Garage, 735 Vallejo",Porcelain enamel,San Francisco Arts Commission,"Photos of People from the Neighborhood Enlarged and Attached to the Building, an"
"Fletcher, Harrell and Rubin, John",,"-122.4094682,37.7984339","Public Display : District 3 : North Beach Parking Garage, 735 Vallejo",Porcelain enamel,San Francisco Arts Commission,"Photos of People from the Neighborhood Enlarged and Attached to the Building, an"
"Saulls, Vicki",,"-122.4122163,37.8024531",Public Display : District 3 : North Beach Pool,,San Francisco Arts Commission,Locus
"Saulls, Vicki",,"-122.4122163,37.8024531",Public Display : District 3 : North Beach Pool,,San Francisco Arts Commission,Nuotatori
"Quagliata, Narcissus",8' X 22',"-122.4054085,37.7975529",Public Display : District 3 : North Shore Pump Station : Embarcadero & Kearny St,Stained glass,San Francisco Arts Commission,Untitled
"Fuller (Mcchesney), Mary",,"-122.4048688,37.7947175",Public Display : District 3 : Portsmouth Square,cast concrete,San Francisco Arts Commission,Lion
"Fuller (Mcchesney), Mary","Varies from 144"" L to 15"" L X 23"" W to 15"" W","-122.4048688,37.7947175",Public Display : District 3 : Portsmouth Square,Cast Concrete,San Francisco Arts Commission,Untitled
"Fuller (Mcchesney), Mary",,"-122.4048688,37.7947175",Public Display : District 3 : Portsmouth Square,Cast concrete,San Francisco Arts Commission,Dragon
"Fuller (Mcchesney), Mary",,"-122.4048688,37.7947175",Public Display : District 3 : Portsmouth Square,cast concrete,San Francisco Arts Commission,Lion
"Fuller (Mcchesney), Mary",,"-122.4048688,37.7947175",Public Display : District 3 : Portsmouth Square,cast concrete,San Francisco Arts Commission,Benches
"Fuller (Mcchesney), Mary",,"-122.4048688,37.7947175",Public Display : District 3 : Portsmouth Square,Cast concrete,San Francisco Arts Commission,Monkey
